player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Trent Edwards,3708,QB,BUF,10,68.9,241,269,7.2,2.82,10,6,2.2,56.1,151,0,99,9.0,288,15,83,4,44.6,59.4,60.7,38.8,4,8,298,1,12.1,70.4,4.2,12,7,2,12,7,14,4.7,1630,6.1
Brian Griese,379,QB,CHI,7,72.2,248,264,8.0,2.34,5,15,5.4,61.7,163,0,74,8.9,283,16,82,6,53.6,64.3,71.0,24.8,3,12,297,6,20.3,75.8,5.3,15,4,4,4,10,13,4.4,1811,6.9
Chad Pennington,596,QB,NYJ,9,76.5,247,260,7.8,2.65,3,13,4.8,68.8,179,0,114,5.3,291,10,92,22,81.2,58.2,63.7,29.3,3,9,301,7,22.8,86.1,8.9,26,5,2,5,10,16,5.3,1765,6.8
Kellen Clemens,2994,QB,NYJ,10,67.0,224,250,9.5,2.74,2,7,2.7,52.0,130,0,95,13.3,290,20,85,22,68.4,52.0,55.5,43.2,5,10,303,5,28.4,60.9,9.3,27,13,4,15,5,13,4.3,1529,6.1
Sage Rosenfels,863,QB,HST,9,74.7,225,240,9.2,2.62,5,12,4.9,64.2,154,0,80,8.3,253,14,96,13,49.6,69.6,71.9,39.2,3,12,258,1,7.5,84.8,2.4,6,7,1,6,15,14,5.4,1684,7.0
Rex Grossman,1338,QB,CHI,8,68.7,201,225,9.7,2.66,4,12,5.2,54.2,122,0,86,11.6,255,16,69,6,28.1,57.6,61.5,32.0,3,7,262,2,29.1,66.4,9.8,25,5,4,13,4,14,5.3,1411,6.3
Brodie Croyle,3030,QB,KC,9,68.6,210,224,8.2,2.68,4,7,3.0,56.7,127,0,77,11.8,246,17,60,16,28.5,50.7,52.5,49.7,1,6,258,4,22.1,69.9,6.9,17,5,1,8,6,14,5.4,1227,5.5
Trent Dilfer,72,QB,SF,7,64.5,200,219,9.6,2.64,5,11,4.7,51.6,113,0,82,12.4,250,16,62,28,62.9,57.6,58.6,47.9,2,12,264,1,32.9,55.1,10.8,27,4,4,8,7,13,4.9,1166,5.3
Steve McNair,114,QB,BLT,6,77.7,188,205,6.5,2.57,8,2,1.0,64.9,133,0,75,8.9,220,13,61,3,22.7,49.3,54.7,28.5,2,4,225,5,14.7,73.9,5.0,11,4,1,6,2,10,4.4,1113,5.4
Alex Smith,2218,QB,SF,7,64.0,172,193,9.9,2.84,4,6,3.0,48.7,94,0,82,14.5,219,16,52,28,68.0,52.0,51.5,64.4,3,4,225,3,20.7,57.2,7.8,17,9,2,12,2,9,4.0,914,4.7
Josh McCown,1085,QB,OAK,9,68.6,175,190,9.3,3.01,3,8,3.9,58.4,111,0,81,7.5,220,9,59,23,28.6,48.3,52.3,40.3,2,11,236,3,17.3,69.4,6.4,14,16,0,10,10,14,5.9,1151,6.1
Daunte Culpepper,446,QB,OAK,7,71.2,170,185,9.1,2.96,7,11,5.6,57.8,107,0,75,11.6,214,14,64,23,23.3,59.8,64.2,37.8,2,5,228,4,29.3,78.0,10.3,22,7,0,6,5,13,5.7,1329,7.2
J.P. Losman,1743,QB,BUF,8,70.7,164,175,8.9,2.95,4,7,3.9,63.4,111,0,70,4.3,200,5,65,4,44.3,47.0,48.8,43.9,2,6,204,0,20.0,77.0,7.0,14,11,1,4,4,10,4.9,1206,6.9
Vinny Testaverde,2866,QB,CAR,6,64.6,164,172,7.7,2.26,4,6,3.2,54.7,94,0,47,11.3,184,12,46,5,25.3,46.9,46.4,52.7,0,6,198,2,19.1,65.8,4.9,9,3,0,4,5,14,7.1,952,5.5
Gus Frerotte,93,QB,SL,8,69.4,157,167,9.6,2.49,5,10,5.7,56.3,94,0,70,13.8,179,15,55,26,52.6,57.4,61.2,29.0,3,12,188,2,15.7,58.3,6.1,11,1,1,1,7,14,7.4,1014,6.1
Todd Collins,131,QB,WAS,5,72.5,142,155,8.6,2.63,2,8,4.9,61.9,96,0,54,6.8,167,7,58,32,32.0,72.4,79.4,25.9,4,2,174,2,18.5,94.4,6.0,10,2,0,7,7,4,2.3,1154,7.4
Chris Redman,635,QB,ATL,6,71.0,138,149,7.9,2.39,4,4,2.6,59.7,89,0,54,9.2,164,9,48,2,68.4,47.7,52.2,28.8,3,5,172,0,16.7,90.4,5.5,9,6,1,3,10,7,4.1,1079,7.2
Quinn Gray,1247,QB,JAX,7,63.0,138,144,11.1,2.62,2,4,2.7,55.6,80,0,39,8.0,159,7,57,15,69.8,51.1,51.1,58.0,2,5,165,2,25.6,85.6,6.3,10,5,0,2,10,11,6.7,987,6.9
Trent Green,58,QB,MIA,5,70.5,129,141,8.9,2.69,5,5,3.4,60.3,85,0,48,6.6,150,6,52,17,88.5,52.0,54.5,42.4,1,7,158,2,14.6,72.6,4.7,7,2,3,3,5,11,7.0,987,7.0
Luke McCown,1827,QB,TB,5,79.8,129,139,6.8,2.97,3,5,3.5,67.6,94,0,52,8.7,164,9,53,30,54.7,68.1,62.4,82.6,0,3,170,0,28.8,91.9,9.1,15,10,2,5,5,7,4.1,1015,7.3
David Carr,1009,QB,CAR,6,67.8,121,136,8.0,2.83,4,3,2.1,53.7,73,0,58,11.0,160,9,36,5,69.0,52.5,54.1,47.9,0,5,169,0,22.4,58.5,8.1,13,11,0,11,3,6,3.6,641,4.7
Matt Leinart,2955,QB,ARZ,5,66.7,99,112,9.3,2.83,4,1,0.9,53.6,60,0,53,9.1,121,6,34,1,87.1,50.5,54.1,44.0,3,4,127,2,7.5,61.9,3.3,4,5,0,6,2,4,3.1,647,5.8
Matt Moore,4018,QB,CAR,8,62.6,107,111,11.1,2.48,2,5,4.5,56.8,63,0,23,6.0,118,4,37,5,68.1,52.5,54.2,38.7,0,5,119,0,26.1,67.0,5.1,6,1,0,2,3,7,5.9,730,6.6
John Beck,3656,QB,MIA,5,67.0,103,108,6.8,2.45,0,1,0.9,56.5,61,0,34,11.6,120,8,25,17,21.8,29.2,34.4,27.9,0,3,122,0,29.4,62.4,8.3,10,2,2,3,1,6,4.9,563,5.2
A.J. Feeley,893,QB,PHI,3,68.0,97,103,10.5,2.76,2,4,3.8,57.3,59,0,27,10.6,111,7,35,24,67.1,41.2,42.2,50.4,0,8,114,0,11.1,61.2,2.7,3,5,0,4,5,9,7.9,681,6.6
Jake Delhomme,303,QB,CAR,3,80.8,78,86,7.8,2.53,3,5,5.7,64.0,55,0,25,12.7,95,8,31,5,55.1,67.0,67.8,50.6,2,1,97,1,20.0,111.8,5.3,5,4,1,2,8,3,3.1,624,7.3
Kelly Holcomb,148,QB,MIN,3,65.7,67,83,9.4,2.63,4,4,4.3,50.6,42,0,34,4.5,95,2,23,18,85.2,66.0,67.1,59.4,7,1,104,4,35.3,73.3,12.6,12,0,1,4,2,4,3.8,519,6.3
Kerry Collins,115,QB,TEN,6,76.4,72,82,8.2,2.72,2,5,6.0,61.0,50,0,29,9.1,87,5,31,31,84.4,79.0,81.3,49.6,2,0,89,2,17.2,79.9,5.7,5,0,0,6,0,2,2.2,531,6.5
Kyle Orton,2323,QB,CHI,3,66.2,71,80,9.3,2.54,1,3,3.7,53.8,43,0,27,8.5,82,4,20,6,52.1,44.2,49.4,28.8,4,2,84,2,7.4,73.9,2.4,2,0,0,4,3,6,7.1,478,6.0
Shaun Hill,1255,QB,SF,3,75.3,73,79,5.5,2.65,1,2,2.4,68.4,54,0,27,1.8,89,1,28,28,55.0,52.2,55.8,44.0,1,1,92,2,22.2,101.3,6.7,6,4,1,3,5,4,4.3,501,6.3
Troy Smith,3790,QB,BLT,4,65.7,70,76,9.6,2.9,1,2,2.6,52.6,40,0,26,13.0,87,6,29,3,24.1,41.5,46.6,34.8,0,0,89,1,15.4,79.5,4.6,4,7,1,4,2,4,4.5,452,5.9
JaMarcus Russell,3617,QB,OAK,4,66.1,62,66,7.7,3.05,1,1,1.4,54.5,36,0,33,12.2,75,5,17,23,35.9,32.3,33.4,55.0,1,4,83,1,21.2,55.9,9.3,7,2,0,2,2,7,8.4,373,5.7
Byron Leftwich,1323,QB,ATL,3,69.8,53,58,8.0,2.71,0,0,0.0,55.2,32,0,31,13.5,65,5,13,2,54.9,59.5,65.3,32.5,4,2,66,0,19.4,59.6,9.2,6,1,0,1,1,1,1.5,281,4.8
Brooks Bollinger,1502,QB,MIN,4,76.6,47,50,6.9,2.79,0,1,1.9,66.0,33,0,20,8.3,60,3,19,18,41.7,64.3,68.7,40.1,0,1,63,0,35.0,88.0,11.7,7,3,1,2,1,1,1.6,391,7.8
Patrick Ramsey,1039,QB,DEN,2,79.5,44,48,6.8,2.33,3,0,0.0,60.4,29,0,18,17.1,51,6,13,10,27.7,48.0,51.0,53.2,0,1,53,1,16.7,73.7,5.9,3,0,1,0,1,3,5.7,265,5.5
Jim Sorgi,1910,QB,IND,4,62.5,32,36,5.3,2.42,1,0,0.0,50.0,18,0,21,10.0,38,2,7,14,80.2,50.8,53.2,49.5,2,0,40,0,9.5,68.3,5.3,2,0,0,1,1,1,2.5,132,3.7
Charlie Batch,367,QB,PIT,2,65.6,32,36,12.3,2.98,1,1,2.6,47.2,17,0,11,19.0,36,4,10,25,81.0,55.1,57.2,51.1,0,3,38,1,0.0,52.1,0.0,0,0,0,3,2,2,5.3,232,6.4
Brock Berlin,2495,QB,SL,1,75.0,24,28,8.7,2.49,2,1,3.3,60.7,17,0,10,5.6,28,1,8,26,77.6,56.1,60.3,44.7,0,1,30,0,0.0,60.6,0.0,0,0,0,2,0,2,6.7,153,5.5
Seneca Wallace,1422,QB,SEA,4,80.0,25,28,6.1,2.96,1,0,0.0,67.9,19,0,8,5.0,33,1,8,29,28.0,48.9,37.7,60.4,0,1,34,0,37.5,99.6,9.1,3,2,0,2,2,3,8.8,215,7.7
Aaron Rodgers,2241,QB,GB,2,76.9,26,28,6.7,2.56,1,0,0.0,71.4,20,0,12,0.0,35,0,12,12,79.2,66.1,62.4,68.7,0,0,37,0,25.0,106.0,8.6,3,4,1,0,1,0,0.0,218,7.8
Tim Rattay,701,QB,ARZ,4,79.2,24,27,14.1,2.75,0,1,3.4,55.6,15,0,9,21.1,28,4,10,1,19.6,66.1,80.0,25.3,0,3,30,0,0.0,71.1,0.0,0,1,0,3,3,2,6.7,164,6.1
J.T. O'Sullivan,1169,QB,DET,2,58.3,24,26,8.8,2.82,1,1,3.7,50.0,13,0,13,7.1,30,1,7,11,26.5,44.6,54.7,29.2,0,2,31,0,23.1,48.2,10.0,3,1,0,1,1,3,9.7,148,5.7
Bruce Gradkowski,3139,QB,TB,3,72.7,22,24,9.8,2.48,0,1,4.0,54.2,13,0,6,18.8,28,3,6,30,78.5,63.5,66.3,57.7,0,1,29,1,33.3,52.4,7.1,2,2,1,1,0,0,0.0,130,5.4
Chris Weinke,861,QB,SF,1,66.7,21,22,8.3,2.81,1,0,0.0,59.1,13,0,10,7.1,27,1,5,28,76.8,34.0,34.1,,0,0,27,0,50.0,86.2,18.5,5,0,0,0,1,2,7.4,104,4.7
Craig Nall,1154,QB,GB,1,50.0,14,15,8.3,2.81,0,0,0.0,46.7,7,0,6,0.0,17,0,5,12,17.2,47.1,67.5,27.3,1,0,17,0,16.7,87.6,5.9,1,1,0,0,1,0,0.0,88,5.9
Billy Volek,768,QB,SD,5,46.2,13,14,7.5,3.0,1,0,0.0,42.9,6,0,5,0.0,16,0,2,27,28.0,26.7,28.5,32.6,0,1,18,0,40.0,24.1,12.5,2,0,0,0,0,2,11.1,54,3.9
Brad Johnson,31,QB,DAL,1,72.7,11,11,7.5,2.63,0,0,0.0,63.6,7,0,4,12.5,12,1,2,9,74.9,58.8,60.2,55.7,0,0,12,1,25.0,85.0,8.3,1,0,0,0,0,0,0.0,79,7.2
Charlie Frye,2284,QB,SEA,1,60.0,10,10,5.7,3.3,0,0,0.0,40.0,4,0,8,33.3,16,2,2,29,74.2,33.4,34.7,58.3,0,1,17,0,62.5,10.0,31.3,5,1,0,0,0,1,5.9,34,3.4
Andrew Walter,2286,QB,OAK,1,62.5,8,8,6.6,2.71,0,0,0.0,62.5,5,0,2,0.0,8,0,2,23,70.9,48.7,53.4,,0,0,9,1,0.0,74.0,0.0,0,0,0,0,0,0,0.0,38,4.8
Jared Lorenzen,2107,QB,NYG,2,62.5,8,8,13.9,2.84,0,0,0.0,50.0,4,0,7,20.0,10,1,1,21,71.4,50.2,54.7,55.3,0,0,10,0,14.3,58.3,10.0,1,1,0,0,0,0,0.0,28,3.5
Brady Quinn,3638,QB,CLV,1,85.7,7,8,8.1,2.4,1,0,0.0,37.5,3,0,2,50.0,8,3,3,8,70.3,75.7,74.3,,0,0,8,0,0.0,56.8,0.0,0,0,0,0,0,0,0.0,45,5.6
Anthony Wright,577,QB,NYG,2,28.6,7,7,10.4,3.37,0,0,0.0,14.3,1,0,2,50.0,7,1,1,21,71.1,45.4,46.1,59.8,0,0,8,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,12,1.7
Matt Cassel,2447,QB,NE,3,66.7,6,7,4.5,2.38,0,0,0.0,57.1,4,0,3,0.0,8,0,3,19,71.8,46.2,36.2,67.3,1,1,8,0,0.0,32.7,0.0,0,1,0,0,0,1,12.5,38,5.4
Tyler Thigpen,3833,QB,KC,1,66.7,6,6,13.8,2.44,0,0,0.0,33.3,2,0,2,50.0,7,2,2,16,70.3,45.9,47.1,,0,1,8,0,50.0,18.8,14.3,1,0,0,0,0,1,12.5,41,6.8
Antwaan Randle El,1069,WR,WAS,2,50.0,2,2,18.0,4.5,0,0,0.0,50.0,1,0,1,0.0,2,0,1,32,81.7,82.6,67.7,48.5,0,0,2,0,0.0,83.3,0.0,0,0,0,0,0,0,0.0,19,9.5
Sidney Rice,3660,WR,MIN,1,100.0,2,2,31.0,4.45,0,1,50.0,100.0,2,0,1,0.0,2,0,2,18,77.0,82.5,85.9,,0,0,2,0,0.0,118.8,0.0,0,0,0,0,0,0,0.0,94,47.0
Larry Johnson,1343,HB,KC,1,0.0,1,1,18.0,3.0,0,0,0.0,0.0,0,0,0,,1,0,0,16,81.4,56.9,49.0,59.0,0,0,1,3,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Ronald Curry,1199,WR,OAK,1,,0,1,,4.9,0,0,0.0,0.0,0,0,1,,1,0,0,23,80.5,68.8,60.0,56.7,0,0,1,6,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0
Brad Smith,3048,WR,NYJ,1,0.0,1,1,10.0,2.7,0,0,0.0,0.0,0,0,1,,1,0,0,22,79.9,57.1,48.2,76.3,0,0,2,0,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Leon Washington,3062,HB,NYJ,1,100.0,1,1,25.0,2.6,0,0,0.0,100.0,1,0,1,0.0,1,0,1,22,64.1,71.1,75.6,72.3,0,0,1,0,0.0,118.8,0.0,0,0,0,0,0,0,0.0,36,36.0
Chester Taylor,1182,HB,MIN,1,0.0,1,1,10.0,2.4,0,0,0.0,0.0,0,0,0,,1,0,0,18,27.7,70.2,68.9,71.4,0,0,1,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Mark Clayton,2239,WR,BLT,1,100.0,1,1,13.0,3.5,0,0,0.0,0.0,0,1,0,100.0,1,1,0,3,79.3,63.2,68.9,,0,0,1,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Marshawn Lynch,3628,HB,BUF,1,100.0,1,1,11.0,2.6,0,0,0.0,100.0,1,0,0,0.0,1,0,1,4,75.8,80.1,68.9,79.1,0,0,1,1,,139.6,0.0,0,0,0,0,1,0,0.0,8,8.0
Clinton Portis,1058,HB,WAS,2,100.0,1,1,18.0,3.9,0,0,0.0,100.0,1,0,1,0.0,3,0,1,32,55.4,58.9,67.0,55.6,0,0,3,1,100.0,158.3,33.3,1,1,0,0,1,0,0.0,15,15.0
LaDainian Tomlinson,777,HB,SD,1,100.0,1,1,15.0,3.0,0,0,0.0,100.0,1,0,1,0.0,1,0,1,27,90.2,75.0,68.9,71.0,0,0,1,2,0.0,158.3,0.0,0,0,0,0,1,0,0.0,17,17.0
Matt Gutierrez,3948,QB,NE,2,100.0,1,1,0.0,3.1,0,0,0.0,100.0,1,0,1,0.0,2,0,1,19,70.1,55.9,58.4,56.4,0,0,2,0,100.0,118.8,50.0,1,0,0,0,0,0,0.0,15,15.0
Adrian Peterson,1177,HB,CHI,1,100.0,1,1,17.0,2.9,0,0,0.0,100.0,1,0,0,0.0,1,0,1,6,63.8,63.2,68.9,51.7,0,0,1,0,,143.8,0.0,0,0,0,0,1,0,0.0,9,9.0
Willie Parker,2142,HB,PIT,1,0.0,1,1,15.0,2.8,0,0,0.0,0.0,0,0,0,,1,0,0,25,59.8,53.5,49.1,53.9,0,0,1,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Mewelde Moore,1840,HB,MIN,1,0.0,1,1,12.0,3.2,0,0,0.0,0.0,0,0,0,,1,0,0,18,27.4,60.6,68.9,62.0,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Steven Jackson,1745,HB,SL,1,100.0,1,1,8.0,2.7,0,0,0.0,100.0,1,0,0,0.0,1,0,1,26,39.2,69.4,67.9,71.5,0,0,1,0,,118.8,0.0,0,0,0,0,1,0,0.0,2,2.0
Greg Lewis,1650,WR,PHI,1,0.0,1,1,33.0,4.7,0,0,0.0,0.0,0,0,0,,1,0,0,24,72.7,67.6,54.7,,0,0,1,2,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
