name,team,SPD,STR,AGI,COD,INJ,AWR,OVR
Cooper Kupp,Los Angeles Rams,90,66,92,92,89,93,89
D.K. Metcalf,Seattle Seahawks,96,79,84,82,94,93,89
DeMarcus Lawrence,Dallas Cowboys,83,88,78,68,84,93,89
Jonathan Taylor,Indianapolis Colts,93,82,87,87,94,94,89
Jordan Mailata,Philadelphia Eagles,74,89,69,57,90,92,89
Kevin Byard III,Chicago Bears,89,73,88,84,97,90,89
L'Jarius Sneed,Tennessee Titans,95,60,88,87,89,92,89
Tyler Linderbaum,Baltimore Ravens,76,85,69,59,92,89,89
A.J. Terrell Jr,Atlanta Falcons,92,60,89,90,91,91,88
Amari Cooper,Buffalo Bills,91,68,93,92,87,86,88
Andrew Thomas,NY Giants,69,90,64,58,86,85,88
Bobby Wagner,Washington Commanders,84,78,80,70,97,94,88
Brian Branch,Detroit Lions,88,60,85,83,92,87,88
Brock Purdy,San Francisco 49ers,78,63,81,77,89,91,88
D.J. Reed Jr,NY Jets,91,52,87,89,88,91,88
DaRon Bland,Dallas Cowboys,90,60,84,86,91,88,88
Derrick Brown,Carolina Panthers,73,98,70,58,95,93,88
DeVonta Smith,Philadelphia Eagles,91,49,91,91,89,94,88
DJ Moore,Chicago Bears,92,66,93,89,95,88,88
Evan Engram,Jacksonville Jaguars,88,66,87,80,88,91,88
